user,sum_score,mean_score,degree,closeness,betweenness,load,eigenvector,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved
MrMacColl,1.0006468945572773,0.11118298828414191,0.0,0.0,0.0,0.0,0.0,0.0,7.099291762290911e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
jstocks21,1.0006462014865776,0.11118291127628639,0.0,0.0,0.0,0.0,0.0,4.737700590858945e-05,6.406221062542194e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
imsubhoghosh,1.000646145291656,0.11118290503240622,0.0003185727938834023,0.0,0.0,0.0,0.0,4.0608862207362386e-05,6.350026140940947e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
n0rmannnnn,1.0006453960260346,0.11118282178067052,0.0003185727938834023,0.0,0.0,0.0,4.5185541186932434e-104,3.384071850613532e-05,5.600760519590983e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
HersphinxXBTS,1.0006452087096294,0.1111828009677366,0.0006371455877668046,0.0,0.0,0.0,0.0,1.353628740245413e-05,5.413444114253492e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
KatieChallinor,1.0006444781756485,0.11118271979729427,0.0,0.0,0.0,0.0,0.0,4.0608862207362386e-05,4.682910133437276e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
lindsay497,1.0006443283225241,0.11118270314694713,0.0,0.0,0.0,0.0,0.0,9.47540118171789e-05,4.533057009167284e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
jvsrk70,1.0006442721276025,0.11118269690306695,0.0,0.0,0.0,0.0,0.0,0.00010152215551840597,4.476862087566036e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
tinkerslass,1.000643691446746,0.11118263238297178,0.0006371455877668046,0.0,0.0,0.0,0.0,1.353628740245413e-05,3.896181231019814e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
Iamherod,1.0006436352518244,0.1111826261390916,0.0,0.0,0.0,0.0,0.0,8.798586811595184e-05,3.839986309418567e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
x_iimaStar_x,1.0006434479354192,0.11118260532615769,0.0,0.0,0.0,0.0,0.0,0.0,3.6526699040810757e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
Ella_CR1,1.0006432793506543,0.11118258659451714,0.0,0.0,0.0,0.0,0.0,4.0608862207362386e-05,3.4840851392773336e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
babitasinghtal,1.0006429983760463,0.11118255537511626,0.0012742911755336092,0.0,0.0,0.0,0.0,6.768143701227065e-06,3.203110531271097e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
GoogleMeChris,1.0006429609127652,0.11118255121252946,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,3.165647250203599e-06,1.0,0.0006397952655150352,0.0,0.0,0.0,0.0
