user,degree,closeness,betweenness,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,score
riyakumar2001,0.003021148036253777,0.5020986358866737,0.003108515975193169,0.0,4.604477034318963e-06,1.0,0.0015117157974300832,0.0,0.0,0.0,0.0,1.5097446201725848
rodrigosabato,0.0026435045317220545,0.5019669551534225,0.0037861077033805464,0.0,9.208954068637926e-08,1.0,0.0007558578987150416,0.0,0.0,0.0,0.0,1.5091525173767808
GeorgeAlvinNYC,0.00037764350453172205,0.5019669551534225,0.0,0.004941703343371168,0.0008565248179240136,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5090943016051677
corenacharles,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.006660323501427212,1.0,0.0,0.0,0.0,0.0,1.5090049221593813
REBECCA65446650,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.006660323501427212,1.0,0.0,0.0,0.0,0.0,1.5090049221593813
SteveCoppinger1,0.0018882175226586106,0.5019669551534225,0.0041187711984646035,0.0,0.0,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.508925418660464
Tailynnrenee,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.282163641916636e-06,1.0,0.006424792139077854,0.0,0.0,0.0,0.0,1.508773672960674
harman973,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,1.0,0.006424792139077854,0.0,0.0,0.0,0.0,1.5087694368418023
beckybabyxxxo,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,1.0,0.006424792139077854,0.0,0.0,0.0,0.0,1.5087694368418023
thekimberleyash,0.0026435045317220545,0.5024940929377789,0.001267784408672485,0.0002702494015906107,1.4596192198791114e-05,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.508593177043799
RonBoone11,0.0018882175226586106,0.5020986358866737,0.0025057927964156146,0.0,2.3022385171594817e-07,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.508395826001436
themilkyoneja,0.00037764350453172205,0.5019669551534225,0.0,0.003976526909118987,0.0008765082482529578,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5081491086012444
Ishieta,0.00037764350453172205,0.5019669551534225,0.0,0.0018917458111342752,6.690305130865453e-05,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.50810914666407
SQuentavius,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.005708848715509039,1.0,0.0,0.0,0.0,0.0,1.5080534934182337
yunjin97637781,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.005708848715509039,1.0,0.0,0.0,0.0,0.0,1.5080534473734633
saadnabs,0.0011329305135951663,0.5019669551534225,0.0016467704067016215,0.00019303528685043624,5.663506752212325e-06,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.5077997792250764
Abel_Seloane,0.0007552870090634442,0.5019669551534225,0.0012367059065356062,0.0013512470079530537,0.000487568073164035,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.507700712721975
RJdaboy,0.0011329305135951663,0.5019669551534225,0.00064845459449903,3.860705737008725e-05,6.151581317850135e-05,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.507654362275738
dacy_essex,0.00037764350453172205,0.5022320490264773,0.0004107157407697689,0.001698710524283839,4.309790504122549e-05,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.5076166410588585
saradianebrown,0.00037764350453172205,0.5019669551534225,0.0,0.002200602270094973,4.231514394539127e-05,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.5074419404297492
CorinneAselin,0.003021148036253777,0.5027580772261624,0.0012360546659318486,0.0,2.53246236887543e-06,1.0,0.0003779289493575208,0.0,0.0,0.0,0.0,1.5073957413400743
ArvindNarayana2,0.0011329305135951663,0.5035516969218626,0.0006570021274233362,0.0,1.381343110295689e-06,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.5072459604778279
KillaTart,0.00037764350453172205,0.5019669551534225,0.0,0.0,3.821715938484739e-06,0.004757373929590866,1.0,0.0,0.0,0.0,0.0,1.5071057943034836
Bo7mooh,0.00037764350453172205,0.5019669551534225,0.0,0.0,2.3482832875026714e-06,0.004757373929590866,1.0,0.0,0.0,0.0,0.0,1.5071043208708326
WithLoveEmilyM,0.00037764350453172205,0.5019669551534225,0.0,0.0,9.208954068637927e-07,0.004757373929590866,1.0,0.0,0.0,0.0,0.0,1.5071028934829518
SxFHBUffxT0OmU4,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.004757373929590866,1.0,0.0,0.0,0.0,0.0,1.5071020186323154
AquariusGiants1,0.00037764350453172205,0.5019669551534225,0.0,0.003397421048567678,3.094208567062343e-05,1.0,0.0011337868480725624,0.0,0.0,0.0,0.0,1.506906748640265
mercerch,0.00037764350453172205,0.5019669551534225,0.0,0.0025480657864257582,5.465514239736609e-05,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.5068502691586136
tallulahlucy,0.00037764350453172205,0.5019669551534225,0.0,0.0034746351633078523,7.37176773194466e-05,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5068444262844998
PaulSey06641252,0.0007552870090634442,0.5019669551534225,0.0012373571471393638,0.0,0.0,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.50681402366738
sara_segundo,0.0007552870090634442,0.5020986358866737,0.0,3.860705737008725e-05,1.749701273041206e-06,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5067001787980532
makaylabez,0.00037764350453172205,0.5022320490264773,4.360900042939597e-05,7.72141147401745e-05,8.656416824519651e-06,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.506545071206676
kelona_renee,0.00037764350453172205,0.5019669551534225,0.0,0.0,1.0774476260306373e-05,1.0,0.0041572184429327285,0.0,0.0,0.0,0.0,1.5065125915771473
Menna52743306,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,1.0,0.0041572184429327285,0.0,0.0,0.0,0.0,1.506501817100887
HaydnSchneider,0.00037764350453172205,0.5019669551534225,0.0,0.0006563199752914833,0.002453909990669948,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5064063034098338
JasonGehrmann,0.00037764350453172205,0.5019669551534225,0.0,0.003049957532236893,9.254998838981116e-06,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5063552859749483
KevinHank777,0.0011329305135951663,0.5019669551534225,0.0024747142942787275,0.0,3.223133924023274e-07,1.0,0.0007558578987150416,0.0,0.0,0.0,0.0,1.5063307801734038
SwatiSr78281405,0.0015105740181268886,0.5019669551534225,0.0009362703793296939,0.0,4.604477034318963e-08,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.5063167951674856
miss_nightowl,0.0015105740181268886,0.5019669551534225,0.0010252697905156311,0.0010037834916222686,5.3089620205697644e-05,1.0,0.0007558578987150416,0.0,0.0,0.0,0.0,1.5063155299726079
