user,degree,closeness,betweenness,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,score
saj_anderson,0.002032520325203252,0.5023174939986284,0.0,9.47540118171789e-05,2.581220065550627e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5146746621689573
Rubyfied,0.002032520325203252,0.5023174939986284,0.0,1.353628740245413e-05,4.879592359041642e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5146164281674777
AlexT,0.002032520325203252,0.5005793742757821,0.0,0.0005008426338908027,0.0012245060733317129,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.514541324940861
AlwynFJH,0.002032520325203252,0.5005793742757821,0.0,0.001252106584727007,0.0002454219542731808,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5143135047726386
bluedonkey,0.002032520325203252,0.5005793742757821,0.0,0.001143816285507374,2.8977847905709868e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5139887703670516
waltfrasier,0.002032520325203252,0.5005793742757821,0.0,0.0007783365256411125,0.00013267620990054492,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.51372698896918
joseeight,0.002032520325203252,0.5005793742757821,0.0,0.000724191376031296,2.9240090873182356e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.513569407700543
ChKashifAli,0.002032520325203252,0.5005793742757821,0.0,0.00039255233467116974,7.048716332849788e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.513279015731638
dbaEBONY,0.002032520325203252,0.5005793742757821,0.0,0.0003857841909699427,1.4479558132588059e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5132162399827411
bluejena,0.002032520325203252,0.5005793742757821,0.0,0.00037224790356748855,1.0826888228506984e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5131990510254345
brittanymwehner,0.002032520325203252,0.5005793742757821,0.0,0.00019627616733558487,1.4760532740594295e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5130270129337147
YepWBK,0.002032520325203252,0.5005793742757821,0.0,0.00016243544882944954,7.77363082150588e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5129861853132893
riintendo,0.002032520325203252,0.5005793742757821,0.0,0.0001150584429208601,2.708595221180121e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5129581206287712
iamnottomgreen,0.002032520325203252,0.5005793742757821,0.0,0.00012859473032331422,1.04897186988995e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5129550606826607
dodiesue,0.002032520325203252,0.5005793742757821,0.0,7.44495807134977e-05,4.240843416840798e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5129328342485202
futbolista_chi5,0.002032520325203252,0.5005793742757821,0.0,0.00010152215551840597,9.515673391144545e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.512927014062548
Npteggchaser,0.002032520325203252,0.5005793742757821,0.0,9.47540118171789e-05,1.4573216335256804e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5129253034617909
SerenaLocatelli,0.002032520325203252,0.5005793742757821,0.0,9.47540118171789e-05,4.40193552543104e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.512915132180981
natelivesay,0.002032520325203252,0.5005793742757821,0.0,7.44495807134977e-05,1.4179851884048074e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.512904605666236
