user,degree,closeness,betweenness,load,eigenvector,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,mean_score,sum_score
pelmeouchy,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,5.414514960981652e-05,2.0792120992461506e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.15187710906469165,1.670648199711608
ashleyaustinn,0.002032520325203252,0.5023174939986284,0.0,0.0,0.1373678358509545,6.768143701227065e-06,6.743390592149678e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.1511035931794896,1.6621395249743856
jeff_deeney,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0007918728130435666,6.070924696988085e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.15102186143429633,1.6612404757772596
getfitwithgiddy,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00031133461025644496,4.328882127349418e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.15097659246807055,1.660742517148776
AcreUK,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00012859473032331422,4.126580409584928e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.15095979584106048,1.6605577542516652
NadiaZammal,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00014213101772576835,7.811094102573377e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.1509579850753704,1.6605378358290743
Saheem_Khizar,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,5.414514960981652e-05,1.654003859130046e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.15095077990049519,1.6604585789054471
s_ande,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,4.737700590858945e-05,6.143978095069706e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.15094921951829543,1.6604414147012498
imdinkarsharma,0.0040650406504065045,0.5005793742757821,0.0034853921066119943,0.0034853921066119943,0.1373678358509545,2.0304431103681193e-05,3.2218421718048465e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1508373311723905,1.6592106428962956
bozychristian,0.0040650406504065045,0.5005793742757821,0.0034853921066119943,0.0034853921066119943,0.1373678358509545,0.0,1.9125004984957838e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15083693105709137,1.6592062416280051
dorothywang,0.002032520325203252,0.5023174939986284,0.0,0.0,0.1373678358509545,0.0013265561654405046,0.0018283205059371152,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1504615280435288,1.6550768084788168
