user,degree,closeness,betweenness,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,score
cxmzsw,0.0,0.0,0.0,0.0,7.492656213499642e-08,0.0,0.0,0.6153846153846154,1.0,0.0,0.0,1.6153846903111777
skaijackson,0.001911436763300414,0.5022496134365546,0.0,0.0018341669430325346,0.013465033749639675,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.596383327815604
directedbydanya,0.0003185727938834023,0.5016042780748663,0.0,0.00016243544882944954,4.533057009167284e-06,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.5790128962976653
DwayneChapman,0.0003185727938834023,0.5016042780748663,0.0,6.091329331104358e-05,1.5622188205146753e-05,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.5789224632733427
andy_kastrati,0.0003185727938834023,0.5016042780748663,0.0,2.707257480490826e-05,1.4142388602980576e-05,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.5788871427552345
probablyaparent,0.0003185727938834023,0.5016042780748663,0.0,6.768143701227065e-06,1.5547261643011759e-06,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.578854250661692
Persimonka,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-07,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.578846115108232
BourneFresh,0.0,0.0,0.0,8.798586811595184e-05,1.2250492909071916e-05,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,1.5653176276653729
rdb11012,0.0,0.0,0.0,0.0,9.927769482887026e-07,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,1.5652183840812959
KK66650581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,1.5652173913043477
cammipham,0.0003185727938834023,0.5016042780748663,0.0,0.04066977550067343,0.01874643852977077,0.0017406440382941688,1.0,0.0,0.0,0.0,0.0,1.563079708937488
M00NxBEAST,0.0003185727938834023,0.5016042780748663,0.0,6.768143701227065e-06,4.870226538774768e-07,0.020887728459530026,1.0,0.0,0.0,0.0,0.0,1.5228178344946348
jaredfowler19,0.0003185727938834023,0.5016042780748663,0.0,0.0,9.365820266874553e-08,0.020887728459530026,1.0,0.0,0.0,0.0,0.0,1.5228106729864823
beswick_donna,0.0003185727938834023,0.5016042780748663,0.0,0.0,3.746328106749821e-08,0.020887728459530026,1.0,0.0,0.0,0.0,0.0,1.5228106167915607
sarahwarhol19,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.020887728459530026,1.0,0.0,0.0,0.0,0.0,1.5228105980599203
cameronmonaghan,0.0003185727938834023,0.5019273831456416,0.0,0.00894748597302218,0.009599516214173607,0.0008703220191470844,1.0,0.0,0.0,0.0,0.0,1.5216632801458678
CyrusNowrasteh,0.0012742911755336092,0.5019263698630136,0.0,2.0304431103681193e-05,2.0192708495381536e-05,1.0,0.014715291106845808,0.0,0.0,0.0,0.0,1.517956449284992
JackRonan,0.0003185727938834023,0.5016042780748663,0.0,1.353628740245413e-05,7.511387854033392e-06,1.0,0.014715291106845808,0.0,0.0,0.0,0.0,1.516659189650852
fltrtae,0.008282892640968459,0.5046253372584433,0.0,0.00010152215551840597,3.216222679644722e-05,1.0,0.0012795905310300703,0.0,0.0,0.0,0.0,1.5143215048127567
travisFTN,0.0028671551449506207,0.5019263698630136,0.006158583063104661,1.353628740245413e-05,1.573457804834925e-06,0.0026109660574412533,1.0,0.0,0.0,0.0,0.0,1.5135781838737175
taramcbride15,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.008703220191470844,1.0,0.0,0.0,0.0,0.0,1.510626089791861
chanangad,0.0012742911755336092,0.5016042780748663,0.0004963548374411516,0.0,1.2737515562949392e-06,0.006962576153176675,1.0,0.0,0.0,0.0,0.0,1.510338773992574
TheZain_Kapadia,0.0009557183816502069,0.5028951318893417,0.001075274240369925,0.0,4.1209609174248033e-07,0.005221932114882507,1.0,0.0,0.0,0.0,0.0,1.510148468722336
baldgalnaj,0.0003185727938834023,0.5018200649110583,2.5729724898967516e-05,4.737700590858945e-05,1.676481827770545e-05,0.007832898172323759,1.0,0.0,0.0,0.0,0.0,1.5100614074263508
